CustomerID,SimilarCustomers
C0001,"[('C0012', 0.95), ('C0008', 0.91), ('C0020', 0.89)]"
C0002,"[('C0010', 0.92), ('C0015', 0.88), ('C0019', 0.85)]"
C0003,"[('C0005', 0.94), ('C0011', 0.89), ('C0001', 0.87)]"
C0004,"[('C0013', 0.93), ('C0017', 0.9), ('C0020', 0.88)]"
C0005,"[('C0006', 0.91), ('C0003', 0.89), ('C0014', 0.88)]"
C0006,"[('C0004', 0.93), ('C0018', 0.89), ('C0007', 0.87)]"
C0007,"[('C0019', 0.92), ('C0002', 0.88), ('C0010', 0.86)]"
C0008,"[('C0011', 0.9), ('C0005', 0.87), ('C0016', 0.85)]"
C0009,"[('C0007', 0.91), ('C0014', 0.88), ('C0003', 0.86)]"
C0010,"[('C0008', 0.93), ('C0020', 0.9), ('C0012', 0.88)]"
C0011,"[('C0015', 0.94), ('C0001', 0.89), ('C0009', 0.87)]"
C0012,"[('C0010', 0.92), ('C0013', 0.88), ('C0006', 0.85)]"
C0013,"[('C0014', 0.93), ('C0004', 0.89), ('C0017', 0.86)]"
C0014,"[('C0016', 0.91), ('C0002', 0.87), ('C0018', 0.85)]"
C0015,"[('C0001', 0.92), ('C0003', 0.89), ('C0008', 0.87)]"
C0016,"[('C0007', 0.93), ('C0019', 0.88), ('C0012', 0.86)]"
C0017,"[('C0018', 0.94), ('C0005', 0.89), ('C0011', 0.87)]"
C0018,"[('C0009', 0.91), ('C0015', 0.88), ('C0014', 0.85)]"
C0019,"[('C0017', 0.93), ('C0006', 0.89), ('C0010', 0.87)]"
C0020,"[('C0012', 0.94), ('C0013', 0.9), ('C0004', 0.88)]"
